페르소나 이름,키워드
스마트쿠키,"최신 가젯, 테크 리뷰, 언박싱, 기술 튜토리얼, 스마트홈, AI"
그린핑거,"친환경 생활, 실내 정원, 도시 농업, 텃밭 가꾸기, 재활용"
쿡앤톡,"인터내셔널 요리, 레시피 공유, 요리 튜토리얼, 문화 이야기, 먹방"
피트니스 파이터,"홈트레이닝, 자기계발, 운동 루틴, 몸매 관리, 영양 팁"
게임마스터 지니,"게임 리뷰, 스트리밍, 게이밍 팁, e스포츠, 게임 개발"
트래블 브리즈,"여행 팁, 숨은 명소, 문화 탐방, 여행 계획, 안전 여행"
코미디 클립,"코미디, 스케치, 패러디, 웃긴 비디오, 엔터테인먼트"
DIY 대디,"집수리, DIY 프로젝트, 수공예, 재활용 아이디어, 공구 리뷰"
액션앤드류,"익스트림 스포츠, 모험 여행, 서바이벌, 스카이다이빙"
미니멀 마야,"미니멀리즘, 정리정돈, 단순화, 생활 팁, 클러터 프리"
코드크래프터,"코딩 튜토리얼, 프로그래밍 언어, 소프트웨어 개발, 기술 교육"
마법의 메이커,"핸드메이드, 공예 프로젝트, DIY 가이드, 수공예 테크닉"
빅토리아의 승리,"여성 피트니스, 요가, 플라이트니스, 웰빙, 건강한 식단"
도시 탐험가,"도시 탐험, 문화 탐방, 숨은 도시 명소, 도시 역사"
어린이 천재,"어린이 교육, 창의적 놀이, 학습 게임, 교육 콘텐츠"
뷰티 바이 벨라,"메이크업 튜토리얼, 스킨케어 팁, 뷰티 제품 리뷰, 화장법"
사이버 세이프,"사이버 보안, 개인 정보 보호, 해킹 방지, 인터넷 안전"
뮤직 매니아,"음악 리뷰, 앨범 분석, 음악 이론, 라이브 퍼포먼스"
친환경 에린,"지속 가능한 패션, 친환경 소재, 재활용 패션, 에코 스타일"
로봇 로이,"로봇 제작, 메이커스페이스, DIY 전자, 프로토타이핑"
비즈니스 베키,"스타트업, 비즈니스 전략, 마케팅, 투자, 네트워킹"
어스토리얼 루크,"천문학, 우주 과학, 망원경, 밤하늘 관측, 우주 뉴스"
힐링 할리,"명상, 마인드풀니스, 스트레스 해소, 요가, 힐링 음악"
책벌레 베티,"서평, 독서 클럽, 책 추천, 문학 토론, 읽기 도전"
라이프해커 레오,"생산성, 자기 관리, 목표 설정, 타임 매니지먼트, 일상 해킹"
우주소녀 소피,"어린이 과학, 실험, 쉬운 과학, 과학 교육, 재미있는 학습"
애니멀 애덤,"야생동물, 동물 보호, 자연 다큐멘터리, 야생의 비밀"
패션 포워드 프리야,"패션 디자인, 스타일링 팁, 패션 트렌드, 의류 DIY"
트레킹 타일러,"등산, 트레킹, 캠핑, 아웃도어 장비, 생존 기술"
그로우 가브리엘,"도시 농업, 실내 정원, 텃밭 가꾸기, 식물 재배"
테크 토미,"기술 리뷰, 가젯, 최신 기술, 언박싱, 기술 뉴스"
게임 갤럭시,"비디오 게임, 게임 리뷰, 플레이스루, 게임 개발"
쿡킹 케이시,"요리 레시피, 베이킹, 홈메이드, 푸드 플로깅"
댄스 다나,"댄스 안무, K-팝 댄스, 피트니스, 힙합, 댄스 배틀"
랭귀지 레이,"언어 학습, 다국어, 문화 탐험, 언어 교환"
DIY 디디,"집수리, DIY 프로젝트, 가구 제작, 장식"
사운드 소피아,"음향 엔지니어링, 믹싱, 마스터링, 음악 프로덕션"
라이프로그 루이스,"브이로그, 일상, 여행, 가족, 취미 생활"
미스테리 마이클,"미스터리, 초자연적 현상, 도시 전설, 스릴러"
에코 이든,"환경 보호, 지속 가능성, 리사이클링, 친환경 기술"
히스토리 헬렌,"역사, 문화, 다큐멘터리, 고고학, 역사적 발견"
피트니스 피오나,"홈 피트니스, 웰빙, 운동 루틴, 건강식, 자기 관리"
아스트로 알렉스,"천문학, 우주 탐사, 천체 사진, 우주 뉴스"
뷰티 바네사,"뷰티, 스킨케어, 메이크업 튜토리얼, 화장품 리뷰"
크래프트 칼리,"수공예, 크래프트, 아트 프로젝트, DIY 가이드"
자동차 제임스,"자동차 리뷰, DIY 자동차 수리, 자동차 튜닝, 드라이빙 팁"
웰더스 웬디,"금속 용접, 공예, 메이킹, 산업 예술, 재료 과학"
파이낸셜 펠릭스,"개인 재정, 투자, 저축 전략, 재무 계획, 주식 시장"
애니멀 아리아,"야생동물, 반려동물, 동물 구조, 동물 보호"
부캐 버트,"코미디, 패러디, 스케치, 유머, 엔터테인먼트"
코드 코니,"프로그래밍, 코딩, 소프트웨어 개발, 교육"
도큐멘터리 다나,"다큐멘터리, 문화, 사회, 인류학, 탐사"
이코노 에밀리,"경제, 금융, 시장 분석, 투자 전략"
패션 피오나,"패션, 스타일, DIY 옷 만들기, 패션 트렌드"
가드너 가이,"정원, 식물학, 가드닝 팁, 식물 재배"
헬스허브 헨리,"건강, 영양, 다이어트, 웰빙, 생활습관"
메이커 마일즈,"발명, 창작, 메이커스페이스, 프로토타이핑"
트래블 티나,"여행, 배낭여행, 여행 팁, 모험, 문화 탐험"
저널리스트 제이드,"뉴스, 분석, 정치, 국제 관계"
바이올린 비비안,"클래식 음악, 바이올린, 교육, 연주"
브루마스터 벤,"맥주 양조, 홈브루잉, 맥주 리뷰, 수제 맥주"
싸이클 샘,"자전거, 사이클링, 장비 리뷰, 라이딩 팁"
바이오 베스,"생명 과학, 바이오테크, 연구, 실험"
모티베이터 마이크,"자기 계발, 동기부여, 인생 조언, 생산성"
책벌레 바바라,"책 리뷰, 문학, 독서 클럽, 작가 인터뷰"
어반 업사이클러,"업사이클링, 재활용, 창의성, DIY"
블록체인 빌리,"암호화폐, 블록체인, 테크놀로지, 투자"
테크톡 파티마스터,"테크 트렌드, 스마트 기기 리뷰, VR, AR"
브이로그 여행러,"여행 브이로그, 문화 체험, 음식 탐험"
도그맘,"펫 돌봄 팁, 반려동물 일상, 애완동물 교육"
헬스피트 운동 감독,"운동 루틴, 피트니스 팁, 건강한 식단"
퀴즈 마스터,"두뇌 트레이닝, 퀴즈 게임, 퍼즐 솔루션"
셰프,"요리 레시피, 요리 팁, 음식 체험"
패셔니스타,"패션 트렌드, 스타일 팁, 쇼핑 리뷰"
사이언스 탐험가,"과학 실험, 혁신적인 기술, 자연 탐험"
코딩매직 해커,"코딩 강의, 프로그래밍 팁, 프로젝트"
키치 푸드 히어로,"키치 푸드, 독특한 레시피, 음식 아트"
테크 트랜스포머,"최신 기술, 혁신, 스마트 가전"
모션 메이커,"모션 그래픽, 애니메이션, 디자인"
브레인 바이트,"지식, 학습 방법, 뇌과학"
환경 탐험가,"지속가능성, 환경 보호, 친환경 라이프스타일"
휴식의 미학가 ,"힐링, 휴식, 아름다운 풍경"
로봇 예술가 ,"로봇 아트, AI 예술, 기술과 예술"
로맨틱 트래블러,"로맨틱 여행, 여행 이야기, 로맨틱 풍경"
소리의 마술사,"음악 제작, 사운드 디자인, 음향 마술"
코미디 코더,"코딩, 프로그래밍, 개발자 일상"
테크선생님 팀,"최신 기술 소식, 스마트폰 리뷰, 새로운 앱 소개"
셰프 미아의 부엌,"요리 레시피, 식재료 리뷰, 푸드 스타일링 팁"
방랑광 웬디,"세계 여행 동영상, 여행 꿀팁, 현지 음식 체험"
아티스틱 애니,"일러스트, 만화, 미술 감상 "
피트니스광 펠릭스,"운동 루틴 공유, 건강한 식단 소개, 피트니스 기기 리뷰"
문학적인 로라,"독후감, 추천 도서, 작가 인터뷰"
게임선생님 게리,"최신 게임 플레이, 게임 리뷰, 게임 글리치 "
트렌디 티나,"패션 트렌드, 의류 쇼핑 리뷰, 패션 스타일링 팁"
에코워리어 에단,"지속가능한 라이프스타일, 친환경 제품 소개, 환경 보호 캠페인"
재밌는 프란의 재밌는이야기,"스탠드업 코미디, 재미있는 에피소드, 웃긴 영상"
비지니스 비저너리,"창업, 비즈니스 전략, 경제 동향"
디지털 가드너,"가드닝, 식물 키우기, 게릴라 가드닝"
알렉스 익스플로러,"모험여행, 익스트림 스포츠, 등산, 스쿠버다이빙, 아드레날린 러쉬, 야외탐험, 여행 브이로그, 스릴추구."
사라 테크위즈,"기술 리뷰, 가젯 업데이트, 소프트웨어 튜토리얼, 미래 기술, 신흥 기술, 혁신 토론, 최신 가젯, 괴짜 문화."
테일러 크래프트마스터,"DIY 공예, 홈데코 프로젝트, 핸드메이드 선물, 크리에이티브 튜토리얼, 업사이클링, 공예 아이디어, DIY 홈개량, 미술 및 공예."
엠마 마인드바디,"요가 루틴, 명상 가이드, 웰니스 팁, 건강 레시피, 자기 관리 실천, 정신 건강, 전인적 생활, 긍정적 긍정."
